Column1,name,location,area_sqft,washrooms,bedrooms,city ,status,price,parking,ac,hardwood_floors,dishwasher,Fireplace,country,roofdeck, storage,pets
59,"2 BHK Apartment in Savvy StrataMakarba, Ahmedabad","Makarba, Ahmedabad",1050,No Deposit2 bathroomsNorth facing,2 BHK Rental Property in Makarba Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
60,"4 BHK Apartment in Reputed Builder Sagun CastleSatellite, Ahmedabad","Satellite, Ahmedabad",2500,No Deposit3 bathroomsEast facing,4 BHK Rental Property in Satellite Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"45,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
61,"3 BHK Apartment in Aaryan Homes 2Shilaj, Ahmedabad","Shilaj, Ahmedabad",1435,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"25,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
62,"2 BHK Apartment in Motera CHSMotera, Ahmedabad","Motera, Ahmedabad",1963,No Deposit2 bathroomsNorth facing,2 BHK Rental Property in Motera Ahmedabad:,Ahmedabad,FurnishedStatus,"18,700 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
63,"4 BHK Apartment in Shree Radha Jaldeep VertexAmbli, Ahmedabad","Ambli, Ahmedabad",2756,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Ambli Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"55,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
64,"2 BHK Apartment in Safal Parishkaar 2Maninagar, Ahmedabad","Maninagar, Ahmedabad",1108,No Deposit2 bathrooms,2 BHK Rental Property in Maninagar Ahmedabad:,Ahmedabad,FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
65,"2 BHK ApartmentManinagar, Ahmedabad","Maninagar, Ahmedabad",1050,No Deposit2 bathroomsNorthEast facing,2 BHK Rental Property in Maninagar Ahmedabad:,Ahmedabad,FurnishedStatus,"15,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
66,"3 BHK Apartment in Zodiac AarishJodhpur Village, Ahmedabad","Jodhpur Village, Ahmedabad",2507,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Jodhpur Village Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"45,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
67,"3 BHK ApartmentPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",1875,No Deposit1 bathrooms,3 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
68,"3 BHK VillaGhuma, Ahmedabad","Ghuma, Ahmedabad",2700,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in Ghuma Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
69,"3 BHK ApartmentShilaj, Ahmedabad","Shilaj, Ahmedabad",1450,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
70,"3 BHK ApartmentGhuma, Ahmedabad","Ghuma, Ahmedabad",1400,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in Ghuma Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
71,"2 BHK Apartment in Goyal And Co And HN Safal Aakash ResidencyShela, Ahmedabad","Shela, Ahmedabad",1180,No Deposit2 bathroomsNorthEast facing,2 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
72,"3 BHK ApartmentShilaj, Ahmedabad","Shilaj, Ahmedabad",1440,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"26,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
73,"2 BHK ApartmentSouth Bopal, Ahmedabad","South Bopal, Ahmedabad",1113,No Deposit2 bathroomsNorthEast facing,2 BHK Rental Property in South Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
74,"4 BHK Independent HouseBodakdev, Ahmedabad","Bodakdev, Ahmedabad",3000,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,1.25 LPrice,not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
75,"4 BHK Apartment in JP Iscon PlatinumBopal, Ahmedabad","Bopal, Ahmedabad",4700,No Deposit4 bathroomsEast facing,4 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"50,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
76,"3 BHK ApartmentSouth Bopal, Ahmedabad","South Bopal, Ahmedabad",1435,No Deposit3 bathroomsWest facing,3 BHK Rental Property in South Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"27,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
77,"3 BHK Apartment in Vishwanath Maher Homes 3Shela, Ahmedabad","Shela, Ahmedabad",1425,No Deposit3 bathroomsWest facing,3 BHK Rental Property in Shela Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
78,"3 BHK Apartment in Sampad AlberoMotera, Ahmedabad","Motera, Ahmedabad",1352,No Deposit2 bathroomsEast facing,3 BHK Rental Property in Motera Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"14,500 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
79,"2 BHK Apartment in  Sparsh DivineChandkheda, Ahmedabad","Chandkheda, Ahmedabad",1963,No Deposit2 bathroomsNorthWest facing,2 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,FurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
80,"2 BHK Independent HouseJivraj Park, Ahmedabad","Jivraj Park, Ahmedabad",1250,No Deposit2 bathrooms,2 BHK Rental Property in Jivraj Park Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
81,"2 BHK Apartment in Shree Ashta Ocean ColinaNaryanpura, Ahmedabad","Naryanpura, Ahmedabad",1080,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Naryanpura Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"18,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
82,"3 BHK VillaManipur, Ahmedabad","Manipur, Ahmedabad",1500,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Manipur Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"15,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
83,"3 BHK Apartment in Sangath Pure By Sangath IPLChandkheda, Ahmedabad","Chandkheda, Ahmedabad",1962,No Deposit2 bathroomsNorth facing,3 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
84,"3 BHK Apartment in Sangani Shaligram LakeviewNear Vaishno Devi Circle On SG Highway, Ahmedabad","Near Vaishno Devi Circle On SG Highway, Ahmedabad",1850,No Deposit3 bathroomsNorth facing,3 BHK Rental Property in Near Vaishno Devi Circle On SG Highway Ahmedabad:,Ahmedabad,FurnishedStatus,"36,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
85,"3 BHK ApartmentPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",1800,No Deposit3 bathroomsNorth facing,3 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,FurnishedStatus,"65,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
